mutation,clone
23,0
73,0
7,1
28,1
36,1
46,1
63,1
90,1
94,1
11,2
75,2
96,2
6,3
26,3
60,3
64,3
81,3
86,3
18,4
25,4
45,4
55,4
98,4
24,5
62,5
79,5
17,6
52,6
53,6
72,6
85,6
87,6
92,6
12,7
29,7
48,7
93,7
5,8
31,8
47,8
54,8
59,8
66,8
70,8
74,8
8,9
33,9
34,9
69,9
3,10
37,10
16,11
32,11
39,11
56,11
65,11
88,11
10,12
35,12
38,12
97,12
13,13
57,13
95,13
2,14
42,14
21,15
30,15
51,15
9,16
58,16
61,16
20,17
40,17
80,17
83,17
89,17
1,18
68,18
4,19
41,19
67,19
14,20
76,20
99,20
15,21
27,21
43,21
49,21
77,21
0,22
44,22
50,22
82,22
84,22
22,23
71,23
78,23
19,24
91,24
